time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
0,986597;0,0389;0,9093;0,6975;1,147;stairs;Samsung Galaxy S10;Isaías
0,991851;0,0408;0,8848;0,6953;1,126;stairs;Samsung Galaxy S10;Isaías
0,998248;0,0408;0,8631;0,6887;1,105;stairs;Samsung Galaxy S10;Isaías
1,003527;0,0403;0,8428;0,673;1,079;stairs;Samsung Galaxy S10;Isaías
1,007135;0,0362;0,8216;0,6547;1,051;stairs;Samsung Galaxy S10;Isaías
1,013043;0,0283;0,8074;0,6435;1,033;stairs;Samsung Galaxy S10;Isaías
1,017093;0,0186;0,7986;0,6418;1,025;stairs;Samsung Galaxy S10;Isaías
1,023087;0,0105;0,7945;0,6403;1,02;stairs;Samsung Galaxy S10;Isaías
1,028885;0,0081;0,7959;0,6413;1,022;stairs;Samsung Galaxy S10;Isaías
1,032658;0,0022;0,7991;0,6501;1,03;stairs;Samsung Galaxy S10;Isaías
1,037635;0,0071;0,8018;0,6589;1,038;stairs;Samsung Galaxy S10;Isaías
1,042437;0,0208;0,805;0,6652;1,044;stairs;Samsung Galaxy S10;Isaías
1,04807;0,0342;0,805;0,6672;1,046;stairs;Samsung Galaxy S10;Isaías
1,053897;0,0472;0,8042;0,6679;1,046;stairs;Samsung Galaxy S10;Isaías
1,057599;0,0635;0,8042;0,6652;1,046;stairs;Samsung Galaxy S10;Isaías
1,064856;0,073;0,8008;0,6567;1,038;stairs;Samsung Galaxy S10;Isaías
1,068482;0,0801;0,7991;0,6479;1,032;stairs;Samsung Galaxy S10;Isaías
1,072868;0,0799;0,8015;0,6364;1,027;stairs;Samsung Galaxy S10;Isaías
1,079421;0,0791;0,7964;0,622;1,014;stairs;Samsung Galaxy S10;Isaías
1,083794;0,0718;0,7927;0,6056;1;stairs;Samsung Galaxy S10;Isaías
1,088061;0,063;0,7874;0,5856;0,983;stairs;Samsung Galaxy S10;Isaías
1,0937;0,0535;0,7837;0,5621;0,966;stairs;Samsung Galaxy S10;Isaías
1,098873;0,0423;0,7752;0,537;0,944;stairs;Samsung Galaxy S10;Isaías
1,10395;0,031;0,7676;0,5125;0,923;stairs;Samsung Galaxy S10;Isaías
1,10972;0,0142;0,7629;0,4874;0,905;stairs;Samsung Galaxy S10;Isaías
1,113419;0,0012;0,7561;0,4659;0,888;stairs;Samsung Galaxy S10;Isaías
1,118597;-0,0151;0,7502;0,452;0,876;stairs;Samsung Galaxy S10;Isaías
1,124602;-0,0327;0,7461;0,4412;0,867;stairs;Samsung Galaxy S10;Isaías
1,129011;-0,0481;0,739;0,438;0,86;stairs;Samsung Galaxy S10;Isaías
1,133864;-0,0669;0,7283;0,4412;0,854;stairs;Samsung Galaxy S10;Isaías
1,14023;-0,0808;0,7241;0,452;0,857;stairs;Samsung Galaxy S10;Isaías
1,144416;-0,0865;0,7207;0,4734;0,867;stairs;Samsung Galaxy S10;Isaías
