time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
0,504456;-0,0212;0,1437;0,9987;1,009;standing;Samsung Galaxy S10;Isaías
0,509363;-0,0193;0,1431;0,995;1,005;standing;Samsung Galaxy S10;Isaías
0,515801;-0,0181;0,1414;0,9916;1,002;standing;Samsung Galaxy S10;Isaías
0,519645;-0,0166;0,1449;0,9913;1,002;standing;Samsung Galaxy S10;Isaías
0,524364;-0,0173;0,1476;0,996;1,007;standing;Samsung Galaxy S10;Isaías
0,529444;-0,0195;0,1454;0,9979;1,009;standing;Samsung Galaxy S10;Isaías
0,534833;-0,02;0,1478;1,0009;1,012;standing;Samsung Galaxy S10;Isaías
0,539859;-0,0227;0,1441;1,0016;1,012;standing;Samsung Galaxy S10;Isaías
0,544654;-0,0247;0,1463;0,9994;1,01;standing;Samsung Galaxy S10;Isaías
0,551809;-0,0225;0,1481;0,9979;1,009;standing;Samsung Galaxy S10;Isaías
0,559054;-0,0234;0,1483;0,9918;1,003;standing;Samsung Galaxy S10;Isaías
0,559923;-0,0276;0,1463;0,9857;0,997;standing;Samsung Galaxy S10;Isaías
0,565066;-0,0301;0,1468;0,9794;0,991;standing;Samsung Galaxy S10;Isaías
0,570102;-0,0261;0,1471;0,9755;0,987;standing;Samsung Galaxy S10;Isaías
0,575099;-0,0261;0,1444;0,9762;0,987;standing;Samsung Galaxy S10;Isaías
0,58031;-0,0266;0,1427;0,9779;0,989;standing;Samsung Galaxy S10;Isaías
0,585403;-0,0269;0,1427;0,983;0,994;standing;Samsung Galaxy S10;Isaías
0,590404;-0,0256;0,1441;0,9855;0,996;standing;Samsung Galaxy S10;Isaías
0,59539;-0,023;0,1459;0,9882;0,999;standing;Samsung Galaxy S10;Isaías
0,60072;-0,0215;0,1468;0,9869;0,998;standing;Samsung Galaxy S10;Isaías
0,605748;-0,0242;0,1473;0,9818;0,993;standing;Samsung Galaxy S10;Isaías
0,610664;-0,0261;0,1451;0,9747;0,986;standing;Samsung Galaxy S10;Isaías
