actividad,sujeto,movil,actividad_cat,userID,gFx_mean,gFy_mean,gFz_mean,TgF_mean,gFx_energia,gFy_energia,gFz_energia,TgF_energia,gFx_median,gFy_median,gFz_median,TgF_median,gFx_kurtosis,gFy_kurtosis,gFz_kurtosis,TgF_kurtosis
Standing,Alvaro,Unespecified,1,0,0.4540603832810183,0.21572119450317168,0.7140790269725233,1.0285624999999992,2.532587610858197e-06,1.238501644288391e-06,7.796533892005073e-06,3.083109375000008e-05,0.4540723608128201,0.21596194503171245,0.7141920846987648,1.029,-0.19562483943929276,1.315355436946608,4.145228285475192,4.120781873189256
Standing,Alvaro,Unespecified,1,0,0.4540925987113834,0.2157646670190279,0.7141233929921854,1.028649999999999,2.506119774526508e-06,1.200087337107606e-06,7.570297387909552e-06,2.9932500000000076e-05,0.4540723608128201,0.21596194503171245,0.7141920846987648,1.029,-0.19379763292043872,1.673671803489337,4.466915405415255,4.447752075930154
Standing,Alvaro,Unespecified,1,0,0.45409053361969326,0.21581514270613159,0.7141552810688175,1.0287174999999988,2.5089625593451967e-06,1.1770182725250096e-06,7.529250422362115e-06,2.977769375000008e-05,0.4540723608128201,0.21596194503171245,0.7141920846987648,1.029,-0.19875392450160723,2.0203801840102837,4.546370268175014,4.526259705072144
Standing,Alvaro,Unespecified,1,0,0.45405914422600413,0.21584421247357338,0.7142374590370555,1.028877499999999,2.5455207891719358e-06,1.1978938351476467e-06,6.998054087385552e-06,2.7707493750000057e-05,0.45390715347761446,0.21612050739957717,0.7142929165616334,1.029,-0.22061409035450863,1.9932795268429189,5.30886287077854,5.2861085634779705
Standing,Alvaro,Unespecified,1,0,0.4540599702626802,0.21590129492600468,0.7140623897151493,1.028532499999999,2.539162094488383e-06,1.106167349086386e-06,5.409131876295549e-06,2.1518943750000044e-05,0.45390715347761446,0.21612050739957717,0.7141920846987648,1.029,-0.212325813383202,2.5869649642240446,5.065565406019884,5.091515031276524
Standing,Alvaro,Unespecified,1,0,0.4540837188171158,0.21595362050740008,0.7141401562893869,1.0286974999999985,2.529036859181198e-06,9.765097890472322e-07,4.537927185898228e-06,1.8030993750000022e-05,0.45390715347761446,0.21612050739957717,0.7141920846987648,1.029,-0.21965284859255796,2.079998540512868,2.9313806165433682,2.798301441974994
Standing,Alvaro,Unespecified,1,0,0.45407174128531347,0.2159299682875268,0.7141397781699012,1.0286999999999984,2.5042260772586743e-06,9.293441367681355e-07,3.864237137503643e-06,1.5405000000000023e-05,0.45390715347761446,0.21612050739957717,0.7141920846987648,1.029,-0.16902316900665681,2.204235226116495,1.555417665954974,1.5914606184779636
Standing,Alvaro,Unespecified,1,0,0.4540641004460602,0.21601863107822442,0.7140623897151493,1.0285524999999982,2.4930873162389044e-06,7.645333298041317e-07,3.535430837939601e-06,1.4157243750000029e-05,0.45390715347761446,0.21612050739957717,0.7141920846987648,1.029,-0.1415577012401954,0.990043296905438,1.801981766795084,1.8436766256335408
Standing,Alvaro,Unespecified,1,0,0.4540496448042295,0.21605549682875286,0.71415326443156,1.0287399999999982,2.5084356249134577e-06,7.156037549892894e-07,3.1382350319045795e-06,1.252740000000003e-05,0.45390715347761446,0.21617336152219874,0.7141920846987648,1.029,-0.15342000985129145,0.9010716448704574,1.5515569248930028,1.5667314123727847
Standing,Alvaro,Unespecified,1,0,0.4540411779283001,0.2160499471458776,0.7141598185026464,1.028754999999998,2.524611224057524e-06,6.932292388335831e-07,3.0436897192358875e-06,1.2114975000000025e-05,0.45390715347761446,0.21612050739957717,0.7141920846987648,1.029,-0.1660503393476782,1.0460980289896034,1.7012104315880006,1.7395557890826714
Standing,Alvaro,Unespecified,1,0,0.4540643069552287,0.21610808668076126,0.7141811192336773,1.028794999999998,2.5208788429094372e-06,5.698293890152777e-07,2.9398961745720648e-06,1.1687975000000024e-05,0.45390715347761446,0.21622621564482028,0.7141920846987648,1.029,-0.18257368138231111,0.32778068693022755,1.770419846138874,1.7886176780359868
Standing,Alvaro,Unespecified,1,0,0.4541322484718319,0.21614310253699806,0.7141092765313835,1.0286574999999984,2.4743187954062568e-06,5.490452281275526e-07,2.962186192757766e-06,1.182019375000002e-05,0.4540723608128201,0.21622621564482028,0.7141920846987648,1.029,-0.19578403860075744,0.4018153888098821,1.7400989625166554,1.7254013186417563
Standing,Alvaro,Unespecified,1,0,0.4541747893606475,0.2161457452431291,0.7141549029493314,1.0287474999999986,2.4716783233865467e-06,5.440161248374115e-07,3.0225884691889392e-06,1.205374375000002e-05,0.4540723608128201,0.21622621564482028,0.7141920846987648,1.029,-0.2196795526877584,0.5324977305838283,1.6182880819087577,1.6115603298523702
Standing,Alvaro,Unespecified,1,0,0.45413472658186016,0.21618208245243134,0.7141536425510453,1.0287399999999982,2.3757934858089946e-06,4.77049731483176e-07,3.038722329777772e-06,1.2102400000000023e-05,0.4540723608128201,0.21622621564482028,0.7141920846987648,1.029,-0.15600558459733627,0.32519443651535473,1.5838691053469542,1.5867715088515828
