time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
0,597159;-0,0567;0,9513;0,2548;0,986;walking;Samsung Galaxy S10;Isaías
0,602743;-0,064;0,955;0,2514;0,99;walking;Samsung Galaxy S10;Isaías
0,607421;-0,0699;0,9564;0,2482;0,991;walking;Samsung Galaxy S10;Isaías
0,612418;-0,073;0,9598;0,2477;0,994;walking;Samsung Galaxy S10;Isaías
0,617759;-0,0765;0,955;0,2521;0,991;walking;Samsung Galaxy S10;Isaías
0,623086;-0,0762;0,9469;0,2545;0,983;walking;Samsung Galaxy S10;Isaías
0,627455;-0,0774;0,941;0,2565;0,978;walking;Samsung Galaxy S10;Isaías
0,636094;-0,0794;0,9356;0,2604;0,974;walking;Samsung Galaxy S10;Isaías
0,641134;-0,083;0,932;0,2736;0,975;walking;Samsung Galaxy S10;Isaías
0,642844;-0,0801;0,9354;0,2951;0,984;walking;Samsung Galaxy S10;Isaías
0,64769;-0,0755;0,9422;0,3161;0,997;walking;Samsung Galaxy S10;Isaías
0,653249;-0,0723;0,9444;0,3327;1,004;walking;Samsung Galaxy S10;Isaías
0,657892;-0,0716;0,9435;0,3452;1,007;walking;Samsung Galaxy S10;Isaías
0,663036;-0,0711;0,9413;0,352;1,007;walking;Samsung Galaxy S10;Isaías
0,668279;-0,0699;0,9381;0,3471;1,003;walking;Samsung Galaxy S10;Isaías
0,673233;-0,0633;0,9393;0,3254;0,996;walking;Samsung Galaxy S10;Isaías
0,678176;-0,0559;0,9432;0,2985;0,991;walking;Samsung Galaxy S10;Isaías
0,683714;-0,0559;0,9442;0,2746;0,985;walking;Samsung Galaxy S10;Isaías
0,688495;-0,0557;0,9467;0,2516;0,981;walking;Samsung Galaxy S10;Isaías
0,693427;-0,0542;0,9518;0,2265;0,98;walking;Samsung Galaxy S10;Isaías
0,698832;-0,055;0,9562;0,2025;0,979;walking;Samsung Galaxy S10;Isaías
0,703683;-0,0555;0,9603;0,1854;0,98;walking;Samsung Galaxy S10;Isaías
0,708579;-0,0535;0,9662;0,172;0,983;walking;Samsung Galaxy S10;Isaías
0,714006;-0,0569;0,9681;0,16;0,983;walking;Samsung Galaxy S10;Isaías
0,720407;-0,0591;0,9672;0,1463;0,98;walking;Samsung Galaxy S10;Isaías
0,723979;-0,063;0,9664;0,1336;0,978;walking;Samsung Galaxy S10;Isaías
0,72905;-0,0689;0,9645;0,1236;0,975;walking;Samsung Galaxy S10;Isaías
0,734079;-0,0747;0,9611;0,1138;0,971;walking;Samsung Galaxy S10;Isaías
0,739059;-0,0804;0,9601;0,1077;0,969;walking;Samsung Galaxy S10;Isaías
0,744195;-0,0867;0,9598;0,1063;0,97;walking;Samsung Galaxy S10;Isaías
0,750314;-0,0926;0,9598;0,1068;0,97;walking;Samsung Galaxy S10;Isaías
0,754476;-0,1026;0,9581;0,1119;0,97;walking;Samsung Galaxy S10;Isaías
0,759575;-0,1116;0,9535;0,119;0,967;walking;Samsung Galaxy S10;Isaías
0,764406;-0,1195;0,9481;0,1319;0,965;walking;Samsung Galaxy S10;Isaías
0,769661;-0,1248;0,9439;0,1456;0,963;walking;Samsung Galaxy S10;Isaías
0,774692;-0,1265;0,9391;0,1666;0,962;walking;Samsung Galaxy S10;Isaías
0,779538;-0,129;0,9366;0,1852;0,963;walking;Samsung Galaxy S10;Isaías
0,78475;-0,1256;0,9344;0,2062;0,965;walking;Samsung Galaxy S10;Isaías
0,790038;-0,1219;0,9383;0,2267;0,973;walking;Samsung Galaxy S10;Isaías
0,794892;-0,1141;0,942;0,2436;0,98;walking;Samsung Galaxy S10;Isaías
0,800752;-0,1109;0,9479;0,2565;0,988;walking;Samsung Galaxy S10;Isaías
0,805379;-0,1077;0,9537;0,2687;0,997;walking;Samsung Galaxy S10;Isaías
0,81023;-0,107;0,9586;0,279;1,004;walking;Samsung Galaxy S10;Isaías
0,815203;-0,1087;0,965;0,2839;1,012;walking;Samsung Galaxy S10;Isaías
0,821093;-0,1085;0,9706;0,2861;1,018;walking;Samsung Galaxy S10;Isaías
0,825271;-0,1087;0,9735;0,2792;1,019;walking;Samsung Galaxy S10;Isaías
0,830281;-0,1075;0,9779;0,2673;1,019;walking;Samsung Galaxy S10;Isaías
0,839712;-0,1107;0,9823;0,2516;1,02;walking;Samsung Galaxy S10;Isaías
0,840683;-0,1124;0,9896;0,2326;1,023;walking;Samsung Galaxy S10;Isaías
0,846157;-0,1163;0,9943;0,2145;1,024;walking;Samsung Galaxy S10;Isaías
0,850848;-0,1187;0,9982;0,1976;1,024;walking;Samsung Galaxy S10;Isaías
0,855718;-0,1226;1,0018;0,1844;1,026;walking;Samsung Galaxy S10;Isaías
0,860611;-0,1275;1,0031;0,17;1,025;walking;Samsung Galaxy S10;Isaías
0,867158;-0,1297;1,0033;0,1595;1,024;walking;Samsung Galaxy S10;Isaías
0,871029;-0,1344;1,0011;0,149;1,021;walking;Samsung Galaxy S10;Isaías
0,875885;-0,1383;0,9979;0,1434;1,018;walking;Samsung Galaxy S10;Isaías
0,881237;-0,1383;0,9972;0,1449;1,017;walking;Samsung Galaxy S10;Isaías
0,886398;-0,137;0,9965;0,1488;1,017;walking;Samsung Galaxy S10;Isaías
0,891582;-0,1334;0,9979;0,1615;1,02;walking;Samsung Galaxy S10;Isaías
0,896273;-0,1241;0,9994;0,171;1,021;walking;Samsung Galaxy S10;Isaías
0,901736;-0,1121;1,0018;0,1805;1,024;walking;Samsung Galaxy S10;Isaías
0,906577;-0,1007;1,0014;0,194;1,025;walking;Samsung Galaxy S10;Isaías
0,911662;-0,085;1,0016;0,2055;1,026;walking;Samsung Galaxy S10;Isaías
0,919628;-0,0664;1,0018;0,2167;1,027;walking;Samsung Galaxy S10;Isaías
0,924796;-0,0511;1,0021;0,2226;1,028;walking;Samsung Galaxy S10;Isaías
0,92685;-0,0379;1,0036;0,2299;1,03;walking;Samsung Galaxy S10;Isaías
0,931717;-0,0301;1,0046;0,2296;1,031;walking;Samsung Galaxy S10;Isaías
0,936881;-0,0212;1,0048;0,2304;1,031;walking;Samsung Galaxy S10;Isaías
0,942342;-0,0156;1,0085;0,2267;1,034;walking;Samsung Galaxy S10;Isaías
0,946994;-0,0156;1,0114;0,2177;1,035;walking;Samsung Galaxy S10;Isaías
0,952271;-0,0208;1,0092;0,2123;1,031;walking;Samsung Galaxy S10;Isaías
0,957272;-0,0306;1,0077;0,2028;1,028;walking;Samsung Galaxy S10;Isaías
0,962455;-0,0403;1,0021;0,1918;1,021;walking;Samsung Galaxy S10;Isaías
0,967766;-0,0511;0,9987;0,1793;1,016;walking;Samsung Galaxy S10;Isaías
0,97249;-0,0611;0,9982;0,1644;1,013;walking;Samsung Galaxy S10;Isaías
0,9773;-0,0704;0,9943;0,15;1,008;walking;Samsung Galaxy S10;Isaías
0,983502;-0,0848;0,9894;0,1361;1,002;walking;Samsung Galaxy S10;Isaías
0,987922;-0,095;0,9828;0,1229;0,995;walking;Samsung Galaxy S10;Isaías
0,992672;-0,1046;0,9804;0,1097;0,992;walking;Samsung Galaxy S10;Isaías
0,997569;-0,1097;0,9791;0,0963;0,99;walking;Samsung Galaxy S10;Isaías
1,003142;-0,1094;0,9838;0,0863;0,994;walking;Samsung Galaxy S10;Isaías
1,007791;-0,1068;0,9918;0,076;1;walking;Samsung Galaxy S10;Isaías
1,012835;-0,1033;1,0016;0,0691;1,009;walking;Samsung Galaxy S10;Isaías
1,018137;-0,1007;1,0104;0,0684;1,018;walking;Samsung Galaxy S10;Isaías
1,023123;-0,098;1,0182;0,0721;1,025;walking;Samsung Galaxy S10;Isaías
1,027965;-0,0953;1,027;0,0813;1,035;walking;Samsung Galaxy S10;Isaías
1,037752;-0,0897;1,0334;0,0899;1,041;walking;Samsung Galaxy S10;Isaías
1,038747;-0,0848;1,0419;0,1002;1,05;walking;Samsung Galaxy S10;Isaías
1,044131;-0,0772;1,0475;0,1082;1,056;walking;Samsung Galaxy S10;Isaías
1,048632;-0,0677;1,0578;0,1175;1,066;walking;Samsung Galaxy S10;Isaías
1,053372;-0,0591;1,069;0,1282;1,078;walking;Samsung Galaxy S10;Isaías
1,058378;-0,0454;1,0786;0,1375;1,088;walking;Samsung Galaxy S10;Isaías
